Entity,Code,Year,Annual CO₂ emissions
Netherlands,NLD,1846,2868912
Netherlands,NLD,1847,3869184
Netherlands,NLD,1848,3649344
Netherlands,NLD,1849,3330576
Netherlands,NLD,1850,3136384
Netherlands,NLD,1851,3118064
Netherlands,NLD,1852,3762928
Netherlands,NLD,1853,4169632
Netherlands,NLD,1854,5946672
Netherlands,NLD,1855,4649616
Netherlands,NLD,1856,4722896
Netherlands,NLD,1857,4217264
Netherlands,NLD,1858,3707968
Netherlands,NLD,1859,3524768
Netherlands,NLD,1860,4796176
Netherlands,NLD,1861,4404128
Netherlands,NLD,1862,5671872
Netherlands,NLD,1863,4085360
Netherlands,NLD,1864,3403856
Netherlands,NLD,1865,3847200
Netherlands,NLD,1866,4217264
Netherlands,NLD,1867,4041391.8
Netherlands,NLD,1868,4239248
Netherlands,NLD,1869,4371152
Netherlands,NLD,1870,4942736
Netherlands,NLD,1871,4979376
Netherlands,NLD,1872,5331120
Netherlands,NLD,1873,5140592
Netherlands,NLD,1874,4741216
Netherlands,NLD,1875,5419056
Netherlands,NLD,1876,6210480
Netherlands,NLD,1877,6309408
Netherlands,NLD,1878,6686800
Netherlands,NLD,1879,7210752
Netherlands,NLD,1880,7972864
Netherlands,NLD,1881,8027824.5
Netherlands,NLD,1882,8130416
Netherlands,NLD,1883,9009776
Netherlands,NLD,1884,9017104
Netherlands,NLD,1885,9420144
Netherlands,NLD,1886,9618000
Netherlands,NLD,1887,9786544
Netherlands,NLD,1888,10860096
Netherlands,NLD,1889,10610944
Netherlands,NLD,1890,10284848
Netherlands,NLD,1891,11908000
Netherlands,NLD,1892,11321760
Netherlands,NLD,1893,11460992
Netherlands,NLD,1894,11618544
Netherlands,NLD,1895,11625872
Netherlands,NLD,1896,12494240
Netherlands,NLD,1897,13102464
Netherlands,NLD,1898,12933920
Netherlands,NLD,1899,13278336
Netherlands,NLD,1900,14634016
Netherlands,NLD,1901,14311584
Netherlands,NLD,1902,14300592
Netherlands,NLD,1903,15297200
Netherlands,NLD,1904,16165567
Netherlands,NLD,1905,16594255
Netherlands,NLD,1906,18056192
Netherlands,NLD,1907,18576480
Netherlands,NLD,1908,18920896
Netherlands,NLD,1909,19917504
Netherlands,NLD,1910,20833504
Netherlands,NLD,1911,22079264
Netherlands,NLD,1912,24922528
Netherlands,NLD,1913,27549616
Netherlands,NLD,1914,25823872
Netherlands,NLD,1915,24534144
Netherlands,NLD,1916,22398032
Netherlands,NLD,1917,8654368
Netherlands,NLD,1918,14527760
Netherlands,NLD,1919,21980336
Netherlands,NLD,1920,22170864
Netherlands,NLD,1921,23233424
Netherlands,NLD,1922,27271152
Netherlands,NLD,1923,27197872
Netherlands,NLD,1924,30594400
Netherlands,NLD,1925,33591550
Netherlands,NLD,1926,34328016
Netherlands,NLD,1927,37966370
Netherlands,NLD,1928,38006670
Netherlands,NLD,1929,41266770
Netherlands,NLD,1930,40779430
Netherlands,NLD,1931,44956480
Netherlands,NLD,1932,41416816
Netherlands,NLD,1933,38569470
Netherlands,NLD,1934,38627948
Netherlands,NLD,1935,37265090
Netherlands,NLD,1936,39892000
Netherlands,NLD,1937,43999190
Netherlands,NLD,1938,43306636
Netherlands,NLD,1939,40701176
Netherlands,NLD,1940,33437664
Netherlands,NLD,1941,37125440
Netherlands,NLD,1942,34594000
Netherlands,NLD,1943,34927456
Netherlands,NLD,1944,23335154
Netherlands,NLD,1945,14651415
Netherlands,NLD,1946,31102062
Netherlands,NLD,1947,44603428
Netherlands,NLD,1948,47263220
Netherlands,NLD,1949,50498684
Netherlands,NLD,1950,51286268
Netherlands,NLD,1951,54968172
Netherlands,NLD,1952,54714880
Netherlands,NLD,1953,55264296
Netherlands,NLD,1954,58392910
Netherlands,NLD,1955,60986490
Netherlands,NLD,1956,65078550
Netherlands,NLD,1957,64407770
Netherlands,NLD,1958,66690260
Netherlands,NLD,1959,67118000
Netherlands,NLD,1960,73437600
Netherlands,NLD,1961,75818780
Netherlands,NLD,1962,83281900
Netherlands,NLD,1963,91144584
Netherlands,NLD,1964,96776600
Netherlands,NLD,1965,100403576
Netherlands,NLD,1966,103557510
Netherlands,NLD,1967,106682160
Netherlands,NLD,1968,113445550
Netherlands,NLD,1969,115802060
Netherlands,NLD,1970,141803300
Netherlands,NLD,1971,140666140
Netherlands,NLD,1972,157495360
Netherlands,NLD,1973,165259840
Netherlands,NLD,1974,159985140
Netherlands,NLD,1975,152525440
Netherlands,NLD,1976,169130820
Netherlands,NLD,1977,163605650
Netherlands,NLD,1978,169793040
Netherlands,NLD,1979,187007060
Netherlands,NLD,1980,176631780
Netherlands,NLD,1981,164109810
Netherlands,NLD,1982,133487120
Netherlands,NLD,1983,137357330
Netherlands,NLD,1984,144072860
Netherlands,NLD,1985,146980000
Netherlands,NLD,1986,144014380
Netherlands,NLD,1987,151480370
Netherlands,NLD,1988,145602740
Netherlands,NLD,1989,161664220
Netherlands,NLD,1990,162796930
Netherlands,NLD,1991,171193500
Netherlands,NLD,1992,170996980
Netherlands,NLD,1993,170964500
Netherlands,NLD,1994,171730580
Netherlands,NLD,1995,173260980
Netherlands,NLD,1996,182322610
Netherlands,NLD,1997,175247140
Netherlands,NLD,1998,176178670
Netherlands,NLD,1999,170835470
Netherlands,NLD,2000,171936060
Netherlands,NLD,2001,177246850
Netherlands,NLD,2002,176525380
Netherlands,NLD,2003,179964300
Netherlands,NLD,2004,181892290
Netherlands,NLD,2005,177931340
Netherlands,NLD,2006,173085150
Netherlands,NLD,2007,172833020
Netherlands,NLD,2008,175705260
Netherlands,NLD,2009,170234050
Netherlands,NLD,2010,182288820
Netherlands,NLD,2011,169161580
Netherlands,NLD,2012,165575020
Netherlands,NLD,2013,164757580
Netherlands,NLD,2014,157342270
Netherlands,NLD,2015,163743250
Netherlands,NLD,2016,164607870
Netherlands,NLD,2017,162077660
Netherlands,NLD,2018,158042200
Netherlands,NLD,2019,152422300
Netherlands,NLD,2020,136670080
Netherlands,NLD,2021,139683650
Netherlands,NLD,2022,127241000
Netherlands,NLD,2023,118668370
